the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.94958056500026 40.7811097282129),1,Manhattan,108,5,73,28,12,3983,335,General,backed 2,02/05/2018,298 E 91st Street,1747 2nd Avenue,2nd Avenue,E 91st Street & E 90th Street,Manhattan,108,Not Applicable,Not Applicable,40.781118,-73.949582,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9649015613416 40.75981573293731),1,Manhattan,106,5,73,28,12,3931,404,Senior Safety,backed 2,01/02/2018,1100 2nd Avenue,1100 2nd Avenue,2nd Avenue,E 57th street & E 58th street,Manhattan,106,Not Applicable,Not Applicable,40.759824,-73.964903,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99043055541584 40.72895873960394),1,Manhattan,103,2,66,27,12,3047,1150,Municipal Facilities,backed,04/16/2015,7 E. 7th Street,7 E. 7th Street,E. 7th Street,Cooper Square and 3rd Avenue,Manhattan,103,M101,Village Alliance,40.728967,-73.990432,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94054356805775 40.79232872540783),1,Manhattan,111,8,68,29,13,3879,346,General,backed 2,02/05/2018,308 E. 109th Street,308 E. 109th Street,E. 109th Street,2nd Avenue & 1st Avenue,Manhattan,111,Not Applicable,Not Applicable,40.792337,-73.940545,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.93601056797965 40.81493672073629),1,Manhattan,111,9,70,30,13,3372,1948,Municipal Facilities,backed,06/03/2016,2289 5th Avenue,2289 5th Avenue,5th Avenue,E 138th Street & E 139th Street,Manhattan,111,Not Applicable,Not Applicable,40.814945,-73.936012,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2
POINT (-74.00295355129579 40.7301697403572),1,Manhattan,102,3,66,27,10,2338,1364,Senior Center,backed,01/31/2014,25 Carmine Street,25 Carmine Street,Carmine Street,Bleeker Street & Bedford Street,Manhattan,102,Not Applicable,Not Applicable,40.730178,-74.002955,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.95179756493735 40.7862127271253),1,Manhattan,108,4,68,28,12,2555,571,Municipal Facilities,backed,06/01/2015,112 East 96th Street,112 East 96th Street,East 96th Street,Park Avenue & Lexington Avenue,Manhattan,108,Not Applicable,Not Applicable,40.786221,-73.951799,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93582156839368 40.804580723020855),1,Manhattan,111,9,68,30,13,3558,21,Bus Route,backless 2,02/10/2017,185 E 126th Street,185 E 126th Street,E 126th Street,3rd Avenue & Lexington Avenue,Manhattan,111,M35,Not Applicable,40.804589,-73.935823,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.94290356368153 40.83673671748476),1,Manhattan,112,7,71,31,13,3003,1951,Municipal Facilities,backless,01/23/2015,3864 Broadway,3864 Broadway,Broadway,West 161st Street & West 162nd Street,Manhattan,112,M5,Not Applicable,40.836745,-73.942905,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99404755351738 40.74341273752996),1,Manhattan,104,3,75,27,12,2219,1813,General,backed,10/28/2015,140 West 23rd Street,140 West 23rd Street,West 23rd Street,6th Avenue and 7th Avenue,Manhattan,104,Not Applicable,Not Applicable,40.743421,-73.994049,X,AREA OF MINIMAL FLOOD HAZARD,6
