the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.91997657330776 40.813060721376225),2,Bronx,201,8,84,29,15,3450,0,Municipal Facilities,,,416 Willis Ave,416 Willis Ave,416 Willis Ave,E 144th Street & E 145th Street,Bronx,201,Not Applicable,Not Applicable,40.813069,-73.919978,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.90429957474916 40.86425071073049),2,Bronx,207,14,78,33,13,2093,739,Community Health Centers,backed,08/06/2013,105 Father Zeiser Place,105 Father Zeiser Place,Father Zeiser Place,University and Webb Avenues,Bronx,207,Not Applicable,Not Applicable,40.864259,-73.904301,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92668057052585 40.81074572155571),2,Bronx,201,8,84,29,15,2873,1000,Municipal Facilities,backless,12/10/2014,285 East 138th Street,285 East 138th Street,East 138th Street,Third Avenue & Alexander Avenue,Bronx,201,BX15,Not Applicable,40.810754,-73.926682,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.84571259517621 40.84265571248982),2,Bronx,210,13,82,32,14,2863,1444,BID,backed,10/15/2014,2702 East Tremont Avenue,2702 East Tremont Avenue,East Tremont Avenue,Frisby Avenue & St Raymonds Avenue,Bronx,210,Not Applicable,Westchester Square,40.842664,-73.845714,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.920870571929 40.82686471796434),2,Bronx,204,16,79,32,15,4052,523,Bus Route,backed 2,08/30/2017,900 Sheridan Avenue,900 Sheridan Avenue,E 161st Street,Sheridan Avenue and Sherman Avenue,Bronx,204,Not Applicable,Not Applicable,40.826873,-73.920872,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91766657240392 40.82868771805704),2,Bronx,204,16,79,32,15,2690,1311,Municipal Facilities,backed,09/15/2014,250 East 164th Street,950 Morris Avenue,Morris Avenue,East 164th Street and Bonner Place,Bronx,204,Not Applicable,Not Applicable,40.828696,-73.917668,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9076145748237 40.84424471464097),2,Bronx,204,15,86,33,15,2745,652,Municipal Facilities,backed,11/05/2014,1691 Weeks Avenue,1691 Weeks Avenue,Weeks Avenue,East 173rd Street & East 174th Street,Bronx,204,Not Applicable,Not Applicable,40.844253,-73.907616,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84331059508175 40.861864709118265),2,Bronx,211,13,80,34,14,3875,257,Senior Safety,backed,08/23/2017,2452 Eastchester Road,2452 Eastchester Road,Eastchester Road,Mace Avenue & Warring Avenue,Bronx,211,Not Applicable,Not Applicable,40.861873,-73.843312,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87393118293501 40.826737228765275),2,Bronx,209,18,85,32,15,2459,921,Health Care Facilities,backless,05/02/2014,1105 Morrison Avenue,1105 Morrison Avenue,Morrison Avenue,Watson Avenue and Bruckner Boulevard,Bronx,209,BX27,Not Applicable,40.8267372288,-73.8739311829,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,5
POINT (-73.86779258692489 40.85113071126246),2,Bronx,211,15,80,33,14,3115,1680,General,backed,07/06/2015,2040 White Plains Road,2040 White Plains Road,White Plains Road,Brady Avenue & Bronxdale Avenue,Bronx,211,Not Applicable,Not Applicable,40.851139,-73.867794,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89821657871163 40.83256371618514),2,Bronx,203,16,79,32,15,2588,832,Municipal Facilities,backless,07/01/2014,1382 Boston Road,1382 Boston Road,Boston Road,Crotona Avenue and E. 170th Street,Bronx,203,BX21,Not Applicable,40.832572,-73.898218,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.909819572174 40.886180706244424),2,Bronx,208,11,81,34,16,1989,670,General,backless,07/02/2013,3555 Johnson Avenue,3555 Johnson Avenue,Johnson Avenue,W 235th & 236th Street,Bronx,208,Not Applicable,Not Applicable,40.886189,-73.909821,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90229957453545 40.882419706686626),2,Bronx,208,11,81,33,13,3684,227,BID,backed,08/01/2017,5716 Broadway,5716 Broadway,Broadway,W 234th Street & W 236th Street,Bronx,208,Not Applicable,Kingsbridge,40.882428,-73.902301,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.82731559944062 40.86954170663705),2,Bronx,210,12,82,36,16,2815,1258,General,backless,01/06/2015,2081 Bartow Avenue,2081 Bartow Avenue,Bartow Avenue,Asch Loop & Co Op City Boulevard,Bronx,210,BX12,Not Applicable,40.86955,-73.827317,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4
POINT (-73.92174957196337 40.81962171970613),2,Bronx,201,17,84,29,15,3815,239,Bus Route,backless,08/01/2017,655 Morris Avenue,655 Morris Avenue,Morris Avenue,E 153rd Street & E 151st Street,Bronx,201,BX32,Not Applicable,40.81963,-73.921751,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.87544858305972 40.87243870744604),2,Bronx,207,11,80,36,13,2339,861,General,backless,03/19/2014,3170 Webster Avenue,3170 Webster Avenue,Webster Avenue,E204th & E205th Street,Bronx,207,BX41,Not Applicable,40.872447,-73.87545,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88879659469745 40.81797216464002),2,Bronx,202,17,85,32,15,1784,1048,General,backed,11/14/2013,847 Hunts Point Avenue,847 Hunts Point Avenue,Hunts Point Avenue,Seneca Avenue & Gilbert Place,Bronx,202,Not Applicable,Not Applicable,40.8179721646,-73.8887965947,X,AREA OF MINIMAL FLOOD HAZARD,
