OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,Borough Name,Neighborhood Tabulation Area Code (NTACODE),Neighborhood Tabulation Area (NTA),Council Distrcit,Postcode,BoroCD,Census Tract,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
12323,2,Free,LinkNYC - Citybridge,bx-04-119157,96 EAST 170 STREET,40.8394450001,-73.9158480005,1007534.92619,245120.988482,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001363,09/15/2016,2,Bronx,BX63,West Concourse,16,10452,204,221,221,2008083,2028420040,3506,"(40.8394450001, -73.9158480005)"
11163,2,Free,LinkNYC - Citybridge,bx-01-146063,776 MELROSE AVE,40.822111982,-73.9148490775,1007817.46762,238806.202227,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-020572,04/25/2018,2,Bronx,BX34,Melrose South-Mott Haven North,17,10451,201,69,69,2114613,2023790010,4606,"(40.822111982, -73.9148490775)"
11817,2,Free,LinkNYC - Citybridge,bx-05-119631,1876 JEROME AVENUE,40.8494860003,-73.9109309999,1008891.74401,248780.646189,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-014609,07/13/2017,2,Bronx,BX41,Mount Hope,14,10453,205,233,233,2008231,2028520000,4437,"(40.8494860003, -73.9109309999)"
10612,2,Free,LinkNYC - Citybridge,bx-06-144410,1961 ARTHUR AVENUE,40.8465224499,-73.8933976697,1013743.81009,247706.331081,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-011621,08/24/2018,2,Bronx,BX17,East Tremont,17,10457,206,37504,37504,2011973,2030680050,4804,"(40.8465224499, -73.8933976697)"
9832,2,Free,LinkNYC - Citybridge,bx-01-146062,624 MELROSE AVE,40.8180165496,-73.9167909599,1007281.42473,237313.572339,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-020596,04/25/2018,2,Bronx,BX34,Melrose South-Mott Haven North,17,10455,201,67,67,2001345,2023740030,4609,"(40.8180165496, -73.9167909599)"
11131,2,Free,LinkNYC - Citybridge,bx-04-146072,2 East 172 Street,40.8422026302,-73.9160324198,1007482.93417,246125.646906,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-019378,04/30/2018,2,Bronx,BX63,West Concourse,14,10452,204,223,223,2008109,2028440010,4574,"(40.8422026302, -73.9160324198)"
10907,2,Free,LinkNYC - Citybridge,bx-01-116238,460 WILLIS AVENUE,40.8139975201,-73.9191713702,1006623.90242,235848.679271,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-010332,04/13/2018,2,Bronx,BX39,Mott Haven-Port Morris,8,10455,201,43,43,2115556,2022900010,3865,"(40.8139975201, -73.9191713702)"
12093,2,Free,LinkNYC - Citybridge,bx-05-119587,150 EAST 188 STREET,40.86165512,-73.8985809099,1012303.37334,253218.03528,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-000074,05/25/2016,2,Bronx,BX40,Fordham South,14,10468,205,237,237,2013796,2031650030,3048,"(40.86165512, -73.8985809099)"
12503,2,Free,LinkNYC - Citybridge,bx-07-119874,56 WEST KINGSBRIDGE ROAD,40.86782871,-73.8995757,1012025.62751,255466.996005,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001774,07/19/2016,2,Bronx,BX30,Kingsbridge Heights,14,10468,207,265,265,2014680,2032150030,3588,"(40.86782871, -73.8995757)"
11072,2,Free,LinkNYC - Citybridge,bx-05-119638,2493 VALENTINE AVENUE,40.8620509803,-73.8960785422,1012995.37786,253363.073704,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-013196,06/25/2018,2,Bronx,BX05,Bedford Park-Fordham North,15,10458,205,237,237,2013601,2031530020,4269,"(40.8620509803, -73.8960785422)"
11986,2,Free,LinkNYC - Citybridge,bx-01-145820,140 EAST 144 STREET,40.8167516434,-73.9292428486,1003835.24035,236849.692689,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-018221,07/20/2017,2,Bronx,BX63,West Concourse,8,10451,201,63,63,2000000,2023450030,4534,"(40.8167516434, -73.9292428486)"
12008,2,Free,LinkNYC - Citybridge,bx-05-123186,1846 JEROME AVENUE,40.8487299999,-73.9114700003,1008742.9031,248505.055533,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-011874,07/13/2017,2,Bronx,BX41,Mount Hope,14,10453,205,233,233,2008218,2028510000,4095,"(40.8487299999, -73.9114700003)"
11114,2,Free,LinkNYC - Citybridge,bx-08-145850,119 WEST KINGSBRIDGE ROAD,40.8686984898,-73.9021008994,1011326.84708,255783.100032,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-018402,08/01/2017,2,Bronx,BX28,Van Cortlandt Village,14,10468,208,267,267,2015261,2032480060,4557,"(40.8686984898, -73.9021008994)"
11812,2,Free,LinkNYC - Citybridge,bx-01-118944,2914 3 AVENUE,40.817235,-73.9158292599,1007547.88712,237029.080125,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-014492,12/22/2016,2,Bronx,BX34,Melrose South-Mott Haven North,17,10455,201,71,71,2001164,2023620010,4432,"(40.817235, -73.9158292599)"
11097,2,Free,LinkNYC - Citybridge,bx-01-145852,141 LINCOLN AVENUE,40.80854426,-73.9290737804,1003884.45875,233859.488696,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-018228,10/26/2017,2,Bronx,BX39,Mott Haven-Port Morris,8,10454,201,19,19,2091107,2023170040,4540,"(40.80854426, -73.9290737804)"
