OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,Borough Name,Neighborhood Tabulation Area Code (NTACODE),Neighborhood Tabulation Area (NTA),Council Distrcit,Postcode,BoroCD,Census Tract,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
12333,1,Free,LinkNYC - Citybridge,mn-07-121254,215 WEST 91 STREET,40.7914009998,-73.9738220005,991498.705635,227606.733813,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-001492,07/07/2016,1,Manhattan,MN12,Upper West Side,6,10025,107,179,179,1033584,1012390020,3516,"(40.7914009998, -73.9738220005)"
12155,1,Free,LinkNYC - Citybridge,mn-04-134553,180 7 AVENUE,40.7426996698,-73.9967998396,985136.774789,209862.158738,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-012570,02/28/2018,1,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,10011,104,87,87,1014037,1007700040,4170,"(40.7426996698, -73.9967998396)"
12617,1,Free,LinkNYC - Citybridge,mn-12-135063,3798 BROADWAY,40.8345130003,-73.9443289998,999655.35402,243317.788348,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-002075,04/24/2018,1,Manhattan,MN36,Washington Heights South,7,10032,112,241,241,1084193,1021160000,3617,"(40.8345130003, -73.9443289998)"
12718,1,Free,LinkNYC - Citybridge,mn-05-135892,300 MADISON AVENUE,40.7525448197,-73.9795852,989906.17109,213449.705696,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000727,07/19/2017,1,Manhattan,MN20,Murray Hill-Kips Bay,4,10017,105,82,82,1085972,1012760060,3295,"(40.7525448197, -73.9795852)"
11833,1,Free,LinkNYC - Citybridge,mn-10-120046,2215 ADAM CLAYTON POWELL JR BOULEVARD,40.8126109997,-73.9454579999,999347.904175,235337.89814,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-014651,02/23/2017,1,Manhattan,MN03,Central Harlem North-Polo Grounds,9,10027,110,226,226,1058070,1019150060,4453,"(40.8126109997, -73.9454579999)"
12539,1,Free,LinkNYC - Citybridge,mn-05-122629,101 West 57Th,40.7645131699,-73.9771946802,990567.358744,217810.329849,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000398,05/08/2017,1,Manhattan,MN17,Midtown-Midtown South,4,10019,105,137,137,1023730,1010100030,3190,"(40.7645131699, -73.9771946802)"
11861,1,Free,LinkNYC - Citybridge,mn-07-135658,715 AMSTERDAM AVENUE,40.7931613601,-73.9708938601,992309.296534,228248.349655,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-011189,05/31/2018,1,Manhattan,MN12,Upper West Side,6,10025,107,181,181,1032551,1012250000,4025,"(40.7931613601, -73.9708938601)"
12527,1,Free,LinkNYC - Citybridge,mn-06-133436,939 3 AVENUE,40.7600051899,-73.9675675095,993234.813383,216168.765547,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000359,07/19/2016,1,Manhattan,MN19,Turtle Bay-East Midtown,4,10022,106,108,108,1038590,1013300000,3178,"(40.7600051899, -73.9675675095)"
10629,1,Free,LinkNYC - Citybridge,mn-11-120229,2105 3 AVENUE,40.7973030002,-73.9403369995,1000769.25927,229761.579569,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000906,03/22/2016,1,Manhattan,MN34,East Harlem North,8,10029,111,188,188,1052515,1016650000,3387,"(40.7973030002, -73.9403369995)"
12663,1,Free,LinkNYC - Citybridge,mn-04-108485,705 8 AVENUE,40.7588309703,-73.9887795405,987358.472774,215739.494752,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000528,04/11/2016,1,Manhattan,MN15,Clinton,3,10036,104,121,121,1024992,1010350040,3240,"(40.7588309703, -73.9887795405)"
